date,market,ticker,community,ari_stability,algorithm
2011-09-12,bovespa,B3SA3.SA,1,0.3891998682910767,leiden
2011-09-12,bovespa,BBAS3.SA,2,0.3891998682910767,leiden
2011-09-12,bovespa,BBDC3.SA,2,0.3891998682910767,leiden
2011-09-12,bovespa,BEEF3.SA,1,0.3891998682910767,leiden
2011-09-12,bovespa,CMIG4.SA,0,0.3891998682910767,leiden
2011-09-12,bovespa,CSAN3.SA,0,0.3891998682910767,leiden
2011-09-12,bovespa,EZTC3.SA,1,0.3891998682910767,leiden
2011-09-12,bovespa,ITSA4.SA,2,0.3891998682910767,leiden
2011-09-12,bovespa,ITUB4.SA,2,0.3891998682910767,leiden
2011-09-12,bovespa,MRVE3.SA,1,0.3891998682910767,leiden
2011-09-12,bovespa,MULT3.SA,1,0.3891998682910767,leiden
2011-09-12,bovespa,PETR3.SA,0,0.3891998682910767,leiden
2011-09-12,bovespa,PSSA3.SA,0,0.3891998682910767,leiden
2011-09-12,bovespa,RADL3.SA,0,0.3891998682910767,leiden
2011-09-12,bovespa,RENT3.SA,1,0.3891998682910767,leiden
2011-09-12,bovespa,SBSP3.SA,0,0.3891998682910767,leiden
2011-09-12,bovespa,SMTO3.SA,0,0.3891998682910767,leiden
2011-09-12,bovespa,TOTS3.SA,0,0.3891998682910767,leiden
2011-09-12,bovespa,VALE3.SA,0,0.3891998682910767,leiden
2011-09-12,bovespa,WEGE3.SA,1,0.3891998682910767,leiden
2011-10-11,bovespa,ABEV3.SA,0,0.43548387096774194,leiden
2011-10-11,bovespa,B3SA3.SA,1,0.43548387096774194,leiden
2011-10-11,bovespa,BBAS3.SA,1,0.43548387096774194,leiden
2011-10-11,bovespa,BBDC3.SA,2,0.43548387096774194,leiden
2011-10-11,bovespa,BEEF3.SA,2,0.43548387096774194,leiden
2011-10-11,bovespa,CMIG4.SA,0,0.43548387096774194,leiden
2011-10-11,bovespa,CSAN3.SA,0,0.43548387096774194,leiden
2011-10-11,bovespa,EZTC3.SA,1,0.43548387096774194,leiden
2011-10-11,bovespa,ITSA4.SA,2,0.43548387096774194,leiden
2011-10-11,bovespa,ITUB4.SA,2,0.43548387096774194,leiden
2011-10-11,bovespa,MRVE3.SA,1,0.43548387096774194,leiden
2011-10-11,bovespa,MULT3.SA,1,0.43548387096774194,leiden
2011-10-11,bovespa,PETR3.SA,2,0.43548387096774194,leiden
2011-10-11,bovespa,PSSA3.SA,0,0.43548387096774194,leiden
2011-10-11,bovespa,RADL3.SA,0,0.43548387096774194,leiden
2011-10-11,bovespa,RENT3.SA,1,0.43548387096774194,leiden
2011-10-11,bovespa,SBSP3.SA,0,0.43548387096774194,leiden
2011-10-11,bovespa,SMTO3.SA,1,0.43548387096774194,leiden
2011-10-11,bovespa,TOTS3.SA,0,0.43548387096774194,leiden
2011-10-11,bovespa,VALE3.SA,0,0.43548387096774194,leiden
2011-10-11,bovespa,WEGE3.SA,2,0.43548387096774194,leiden
