date,market,ticker,community,ari_stability,algorithm
2018-03-05,nifty50,WIPRO.NS,0,0.43316287913751406,leiden
2018-04-05,nifty50,ADANIENT.NS,2,0.38725205411237446,leiden
2018-04-05,nifty50,ADANIPORTS.NS,2,0.38725205411237446,leiden
2018-04-05,nifty50,APOLLOHOSP.NS,1,0.38725205411237446,leiden
2018-04-05,nifty50,ASIANPAINT.NS,0,0.38725205411237446,leiden
2018-04-05,nifty50,AXISBANK.NS,3,0.38725205411237446,leiden
2018-04-05,nifty50,BAJAJ-AUTO.NS,0,0.38725205411237446,leiden
2018-04-05,nifty50,BAJAJFINSV.NS,1,0.38725205411237446,leiden
2018-04-05,nifty50,BAJFINANCE.NS,1,0.38725205411237446,leiden
2018-04-05,nifty50,BEL.NS,0,0.38725205411237446,leiden
2018-04-05,nifty50,BHARTIARTL.NS,3,0.38725205411237446,leiden
2018-04-05,nifty50,BPCL.NS,2,0.38725205411237446,leiden
2018-04-05,nifty50,BRITANNIA.NS,2,0.38725205411237446,leiden
2018-04-05,nifty50,CIPLA.NS,2,0.38725205411237446,leiden
2018-04-05,nifty50,DIVISLAB.NS,1,0.38725205411237446,leiden
2018-04-05,nifty50,DRREDDY.NS,2,0.38725205411237446,leiden
2018-04-05,nifty50,EICHERMOT.NS,0,0.38725205411237446,leiden
2018-04-05,nifty50,GRASIM.NS,3,0.38725205411237446,leiden
2018-04-05,nifty50,HCLTECH.NS,1,0.38725205411237446,leiden
2018-04-05,nifty50,HDFCBANK.NS,1,0.38725205411237446,leiden
2018-04-05,nifty50,HEROMOTOCO.NS,0,0.38725205411237446,leiden
2018-04-05,nifty50,HINDALCO.NS,2,0.38725205411237446,leiden
2018-04-05,nifty50,HINDUNILVR.NS,0,0.38725205411237446,leiden
2018-04-05,nifty50,ICICIBANK.NS,3,0.38725205411237446,leiden
2018-04-05,nifty50,INDUSINDBK.NS,1,0.38725205411237446,leiden
2018-04-05,nifty50,INFY.NS,1,0.38725205411237446,leiden
2018-04-05,nifty50,ITC.NS,0,0.38725205411237446,leiden
2018-04-05,nifty50,JSWSTEEL.NS,2,0.38725205411237446,leiden
2018-04-05,nifty50,KOTAKBANK.NS,1,0.38725205411237446,leiden
2018-04-05,nifty50,LT.NS,3,0.38725205411237446,leiden
2018-04-05,nifty50,M&M.NS,3,0.38725205411237446,leiden
2018-04-05,nifty50,MARUTI.NS,0,0.38725205411237446,leiden
2018-04-05,nifty50,NESTLEIND.NS,0,0.38725205411237446,leiden
2018-04-05,nifty50,NTPC.NS,2,0.38725205411237446,leiden
2018-04-05,nifty50,ONGC.NS,0,0.38725205411237446,leiden
2018-04-05,nifty50,POWERGRID.NS,0,0.38725205411237446,leiden
2018-04-05,nifty50,RELIANCE.NS,2,0.38725205411237446,leiden
2018-04-05,nifty50,SBIN.NS,3,0.38725205411237446,leiden
2018-04-05,nifty50,SHRIRAMFIN.NS,1,0.38725205411237446,leiden
2018-04-05,nifty50,SUNPHARMA.NS,2,0.38725205411237446,leiden
2018-04-05,nifty50,TATACONSUM.NS,0,0.38725205411237446,leiden
2018-04-05,nifty50,TATASTEEL.NS,2,0.38725205411237446,leiden
2018-04-05,nifty50,TCS.NS,1,0.38725205411237446,leiden
2018-04-05,nifty50,TECHM.NS,1,0.38725205411237446,leiden
2018-04-05,nifty50,TITAN.NS,0,0.38725205411237446,leiden
2018-04-05,nifty50,ULTRACEMCO.NS,3,0.38725205411237446,leiden
2018-04-05,nifty50,WIPRO.NS,1,0.38725205411237446,leiden
2018-05-07,nifty50,ADANIENT.NS,1,0.17046064862631688,leiden
2018-05-07,nifty50,ADANIPORTS.NS,1,0.17046064862631688,leiden
2018-05-07,nifty50,APOLLOHOSP.NS,3,0.17046064862631688,leiden
2018-05-07,nifty50,ASIANPAINT.NS,0,0.17046064862631688,leiden
2018-05-07,nifty50,AXISBANK.NS,1,0.17046064862631688,leiden
2018-05-07,nifty50,BAJAJ-AUTO.NS,0,0.17046064862631688,leiden
2018-05-07,nifty50,BAJAJFINSV.NS,2,0.17046064862631688,leiden
2018-05-07,nifty50,BAJFINANCE.NS,2,0.17046064862631688,leiden
2018-05-07,nifty50,BEL.NS,0,0.17046064862631688,leiden
2018-05-07,nifty50,BHARTIARTL.NS,1,0.17046064862631688,leiden
2018-05-07,nifty50,BPCL.NS,0,0.17046064862631688,leiden
2018-05-07,nifty50,BRITANNIA.NS,2,0.17046064862631688,leiden
2018-05-07,nifty50,CIPLA.NS,3,0.17046064862631688,leiden
2018-05-07,nifty50,DIVISLAB.NS,2,0.17046064862631688,leiden
2018-05-07,nifty50,DRREDDY.NS,3,0.17046064862631688,leiden
2018-05-07,nifty50,EICHERMOT.NS,0,0.17046064862631688,leiden
2018-05-07,nifty50,GRASIM.NS,3,0.17046064862631688,leiden
2018-05-07,nifty50,HCLTECH.NS,4,0.17046064862631688,leiden
2018-05-07,nifty50,HDFCBANK.NS,3,0.17046064862631688,leiden
2018-05-07,nifty50,HEROMOTOCO.NS,0,0.17046064862631688,leiden
2018-05-07,nifty50,HINDALCO.NS,1,0.17046064862631688,leiden
2018-05-07,nifty50,HINDUNILVR.NS,4,0.17046064862631688,leiden
2018-05-07,nifty50,ICICIBANK.NS,1,0.17046064862631688,leiden
2018-05-07,nifty50,INDUSINDBK.NS,2,0.17046064862631688,leiden
2018-05-07,nifty50,INFY.NS,4,0.17046064862631688,leiden
2018-05-07,nifty50,ITC.NS,2,0.17046064862631688,leiden
2018-05-07,nifty50,JSWSTEEL.NS,2,0.17046064862631688,leiden
2018-05-07,nifty50,KOTAKBANK.NS,3,0.17046064862631688,leiden
2018-05-07,nifty50,LT.NS,3,0.17046064862631688,leiden
2018-05-07,nifty50,M&M.NS,2,0.17046064862631688,leiden
2018-05-07,nifty50,MARUTI.NS,0,0.17046064862631688,leiden
2018-05-07,nifty50,NESTLEIND.NS,4,0.17046064862631688,leiden
2018-05-07,nifty50,NTPC.NS,0,0.17046064862631688,leiden
2018-05-07,nifty50,ONGC.NS,1,0.17046064862631688,leiden
2018-05-07,nifty50,POWERGRID.NS,1,0.17046064862631688,leiden
2018-05-07,nifty50,RELIANCE.NS,0,0.17046064862631688,leiden
2018-05-07,nifty50,SBIN.NS,1,0.17046064862631688,leiden
2018-05-07,nifty50,SHRIRAMFIN.NS,2,0.17046064862631688,leiden
2018-05-07,nifty50,SUNPHARMA.NS,3,0.17046064862631688,leiden
2018-05-07,nifty50,TATACONSUM.NS,0,0.17046064862631688,leiden
2018-05-07,nifty50,TATASTEEL.NS,1,0.17046064862631688,leiden
2018-05-07,nifty50,TCS.NS,4,0.17046064862631688,leiden
2018-05-07,nifty50,TECHM.NS,4,0.17046064862631688,leiden
2018-05-07,nifty50,TITAN.NS,0,0.17046064862631688,leiden
2018-05-07,nifty50,ULTRACEMCO.NS,1,0.17046064862631688,leiden
2018-05-07,nifty50,WIPRO.NS,4,0.17046064862631688,leiden
2018-06-05,nifty50,ADANIENT.NS,1,0.23059499956442198,leiden
2018-06-05,nifty50,ADANIPORTS.NS,1,0.23059499956442198,leiden
2018-06-05,nifty50,APOLLOHOSP.NS,1,0.23059499956442198,leiden
2018-06-05,nifty50,ASIANPAINT.NS,2,0.23059499956442198,leiden
2018-06-05,nifty50,AXISBANK.NS,3,0.23059499956442198,leiden
2018-06-05,nifty50,BAJAJ-AUTO.NS,4,0.23059499956442198,leiden
2018-06-05,nifty50,BAJAJFINSV.NS,0,0.23059499956442198,leiden
2018-06-05,nifty50,BAJFINANCE.NS,2,0.23059499956442198,leiden
2018-06-05,nifty50,BEL.NS,0,0.23059499956442198,leiden
2018-06-05,nifty50,BHARTIARTL.NS,4,0.23059499956442198,leiden
2018-06-05,nifty50,BPCL.NS,3,0.23059499956442198,leiden
2018-06-05,nifty50,BRITANNIA.NS,0,0.23059499956442198,leiden
2018-06-05,nifty50,CIPLA.NS,2,0.23059499956442198,leiden
2018-06-05,nifty50,DIVISLAB.NS,1,0.23059499956442198,leiden
2018-06-05,nifty50,DRREDDY.NS,1,0.23059499956442198,leiden
2018-06-05,nifty50,EICHERMOT.NS,4,0.23059499956442198,leiden
2018-06-05,nifty50,GRASIM.NS,2,0.23059499956442198,leiden
2018-06-05,nifty50,HCLTECH.NS,0,0.23059499956442198,leiden
2018-06-05,nifty50,HDFCBANK.NS,2,0.23059499956442198,leiden
2018-06-05,nifty50,HEROMOTOCO.NS,4,0.23059499956442198,leiden
2018-06-05,nifty50,HINDALCO.NS,1,0.23059499956442198,leiden
2018-06-05,nifty50,HINDUNILVR.NS,0,0.23059499956442198,leiden
2018-06-05,nifty50,ICICIBANK.NS,3,0.23059499956442198,leiden
2018-06-05,nifty50,INDUSINDBK.NS,2,0.23059499956442198,leiden
2018-06-05,nifty50,INFY.NS,0,0.23059499956442198,leiden
2018-06-05,nifty50,ITC.NS,2,0.23059499956442198,leiden
2018-06-05,nifty50,JSWSTEEL.NS,1,0.23059499956442198,leiden
2018-06-05,nifty50,KOTAKBANK.NS,2,0.23059499956442198,leiden
2018-06-05,nifty50,LT.NS,2,0.23059499956442198,leiden
2018-06-05,nifty50,M&M.NS,0,0.23059499956442198,leiden
2018-06-05,nifty50,MARUTI.NS,4,0.23059499956442198,leiden
2018-06-05,nifty50,NESTLEIND.NS,0,0.23059499956442198,leiden
2018-06-05,nifty50,NTPC.NS,1,0.23059499956442198,leiden
2018-06-05,nifty50,ONGC.NS,1,0.23059499956442198,leiden
2018-06-05,nifty50,POWERGRID.NS,1,0.23059499956442198,leiden
2018-06-05,nifty50,RELIANCE.NS,3,0.23059499956442198,leiden
2018-06-05,nifty50,SBIN.NS,3,0.23059499956442198,leiden
