date,market,ticker,community,ari_stability
2016-05-16,bovespa,USIM5.SA,1,0.5412881245944192
2016-05-16,bovespa,VALE3.SA,0,0.5412881245944192
2016-05-16,bovespa,WEGE3.SA,5,0.5412881245944192
2016-05-16,bovespa,YDUQ3.SA,0,0.5412881245944192
2016-05-17,bovespa,ABEV3.SA,4,0.5036836614943279
2016-05-17,bovespa,BBAS3.SA,2,0.5036836614943279
2016-05-17,bovespa,BBDC3.SA,2,0.5036836614943279
2016-05-17,bovespa,BBDC4.SA,2,0.5036836614943279
2016-05-17,bovespa,BEEF3.SA,1,0.5036836614943279
2016-05-17,bovespa,CMIG4.SA,5,0.5036836614943279
2016-05-17,bovespa,CSAN3.SA,2,0.5036836614943279
2016-05-17,bovespa,CSNA3.SA,0,0.5036836614943279
2016-05-17,bovespa,ENEV3.SA,5,0.5036836614943279
2016-05-17,bovespa,EZTC3.SA,5,0.5036836614943279
2016-05-17,bovespa,FLRY3.SA,0,0.5036836614943279
2016-05-17,bovespa,GGBR4.SA,0,0.5036836614943279
2016-05-17,bovespa,ITSA4.SA,2,0.5036836614943279
2016-05-17,bovespa,ITUB4.SA,2,0.5036836614943279
2016-05-17,bovespa,LREN3.SA,2,0.5036836614943279
2016-05-17,bovespa,MRVE3.SA,2,0.5036836614943279
2016-05-17,bovespa,MULT3.SA,2,0.5036836614943279
2016-05-17,bovespa,PETR3.SA,1,0.5036836614943279
2016-05-17,bovespa,PETR4.SA,1,0.5036836614943279
2016-05-17,bovespa,RADL3.SA,2,0.5036836614943279
2016-05-17,bovespa,RENT3.SA,2,0.5036836614943279
2016-05-17,bovespa,SANB11.SA,4,0.5036836614943279
2016-05-17,bovespa,SBSP3.SA,5,0.5036836614943279
2016-05-17,bovespa,SMTO3.SA,2,0.5036836614943279
2016-05-17,bovespa,SUZB3.SA,2,0.5036836614943279
2016-05-17,bovespa,UGPA3.SA,4,0.5036836614943279
2016-05-17,bovespa,USIM5.SA,1,0.5036836614943279
2016-05-17,bovespa,VALE3.SA,0,0.5036836614943279
2016-05-17,bovespa,WEGE3.SA,5,0.5036836614943279
2016-05-17,bovespa,YDUQ3.SA,0,0.5036836614943279
2016-05-18,bovespa,ABEV3.SA,2,0.3878639800825769
2016-05-18,bovespa,BBAS3.SA,2,0.3878639800825769
2016-05-18,bovespa,BBDC3.SA,2,0.3878639800825769
2016-05-18,bovespa,BBDC4.SA,2,0.3878639800825769
2016-05-18,bovespa,BEEF3.SA,1,0.3878639800825769
2016-05-18,bovespa,CMIG4.SA,4,0.3878639800825769
2016-05-18,bovespa,CSAN3.SA,5,0.3878639800825769
2016-05-18,bovespa,CSNA3.SA,0,0.3878639800825769
2016-05-18,bovespa,ENEV3.SA,5,0.3878639800825769
2016-05-18,bovespa,EZTC3.SA,4,0.3878639800825769
2016-05-18,bovespa,FLRY3.SA,0,0.3878639800825769
2016-05-18,bovespa,GGBR4.SA,0,0.3878639800825769
2016-05-18,bovespa,ITSA4.SA,2,0.3878639800825769
2016-05-18,bovespa,ITUB4.SA,2,0.3878639800825769
2016-05-18,bovespa,LREN3.SA,5,0.3878639800825769
2016-05-18,bovespa,MRVE3.SA,4,0.3878639800825769
2016-05-18,bovespa,MULT3.SA,4,0.3878639800825769
2016-05-18,bovespa,PETR3.SA,1,0.3878639800825769
2016-05-18,bovespa,PETR4.SA,1,0.3878639800825769
2016-05-18,bovespa,RADL3.SA,5,0.3878639800825769
2016-05-18,bovespa,RENT3.SA,5,0.3878639800825769
2016-05-18,bovespa,SANB11.SA,2,0.3878639800825769
2016-05-18,bovespa,SBSP3.SA,4,0.3878639800825769
2016-05-18,bovespa,SMTO3.SA,5,0.3878639800825769
2016-05-18,bovespa,SUZB3.SA,5,0.3878639800825769
2016-05-18,bovespa,UGPA3.SA,2,0.3878639800825769
2016-05-18,bovespa,USIM5.SA,1,0.3878639800825769
2016-05-18,bovespa,VALE3.SA,0,0.3878639800825769
2016-05-18,bovespa,WEGE3.SA,5,0.3878639800825769
2016-05-18,bovespa,YDUQ3.SA,0,0.3878639800825769
