date,market,ticker,community,ari_stability
2022-11-07,nifty50,ITC.NS,1,0.4225774802331621
2022-11-07,nifty50,JSWSTEEL.NS,2,0.4225774802331621
2022-11-07,nifty50,KOTAKBANK.NS,3,0.4225774802331621
2022-11-07,nifty50,LT.NS,2,0.4225774802331621
2022-11-07,nifty50,M&M.NS,1,0.4225774802331621
2022-11-07,nifty50,MARUTI.NS,1,0.4225774802331621
2022-11-07,nifty50,NTPC.NS,2,0.4225774802331621
2022-11-07,nifty50,ONGC.NS,2,0.4225774802331621
2022-11-07,nifty50,POWERGRID.NS,2,0.4225774802331621
2022-11-07,nifty50,RELIANCE.NS,1,0.4225774802331621
2022-11-07,nifty50,SBIN.NS,3,0.4225774802331621
2022-11-07,nifty50,SUNPHARMA.NS,2,0.4225774802331621
2022-11-07,nifty50,TATASTEEL.NS,2,0.4225774802331621
2022-11-07,nifty50,TCS.NS,0,0.4225774802331621
2022-11-07,nifty50,TECHM.NS,0,0.4225774802331621
2022-11-07,nifty50,TITAN.NS,3,0.4225774802331621
2022-11-07,nifty50,ULTRACEMCO.NS,1,0.4225774802331621
2022-11-07,nifty50,WIPRO.NS,0,0.4225774802331621
2022-11-09,nifty50,ADANIENT.NS,2,0.3512399111007135
2022-11-09,nifty50,ADANIPORTS.NS,2,0.3512399111007135
2022-11-09,nifty50,ASIANPAINT.NS,4,0.3512399111007135
2022-11-09,nifty50,AXISBANK.NS,3,0.3512399111007135
2022-11-09,nifty50,BAJAJFINSV.NS,4,0.3512399111007135
2022-11-09,nifty50,BAJFINANCE.NS,4,0.3512399111007135
2022-11-09,nifty50,BHARTIARTL.NS,4,0.3512399111007135
2022-11-09,nifty50,HCLTECH.NS,0,0.3512399111007135
2022-11-09,nifty50,HDFCBANK.NS,1,0.3512399111007135
2022-11-09,nifty50,HINDUNILVR.NS,4,0.3512399111007135
2022-11-09,nifty50,ICICIBANK.NS,3,0.3512399111007135
2022-11-09,nifty50,INFY.NS,0,0.3512399111007135
2022-11-09,nifty50,ITC.NS,4,0.3512399111007135
2022-11-09,nifty50,JSWSTEEL.NS,1,0.3512399111007135
2022-11-09,nifty50,KOTAKBANK.NS,1,0.3512399111007135
2022-11-09,nifty50,LT.NS,2,0.3512399111007135
2022-11-09,nifty50,M&M.NS,1,0.3512399111007135
2022-11-09,nifty50,MARUTI.NS,1,0.3512399111007135
2022-11-09,nifty50,NTPC.NS,1,0.3512399111007135
2022-11-09,nifty50,ONGC.NS,1,0.3512399111007135
2022-11-09,nifty50,POWERGRID.NS,1,0.3512399111007135
2022-11-09,nifty50,RELIANCE.NS,4,0.3512399111007135
2022-11-09,nifty50,SBIN.NS,3,0.3512399111007135
2022-11-09,nifty50,SUNPHARMA.NS,1,0.3512399111007135
2022-11-09,nifty50,TATASTEEL.NS,1,0.3512399111007135
2022-11-09,nifty50,TCS.NS,0,0.3512399111007135
2022-11-09,nifty50,TECHM.NS,0,0.3512399111007135
2022-11-09,nifty50,TITAN.NS,1,0.3512399111007135
2022-11-09,nifty50,ULTRACEMCO.NS,1,0.3512399111007135
2022-11-09,nifty50,WIPRO.NS,0,0.3512399111007135
2022-11-10,nifty50,ADANIENT.NS,5,0.37648711406702406
2022-11-10,nifty50,ADANIPORTS.NS,5,0.37648711406702406
2022-11-10,nifty50,ASIANPAINT.NS,1,0.37648711406702406
2022-11-10,nifty50,AXISBANK.NS,2,0.37648711406702406
2022-11-10,nifty50,BAJAJFINSV.NS,1,0.37648711406702406
2022-11-10,nifty50,BAJFINANCE.NS,1,0.37648711406702406
2022-11-10,nifty50,BHARTIARTL.NS,2,0.37648711406702406
2022-11-10,nifty50,HCLTECH.NS,0,0.37648711406702406
2022-11-10,nifty50,HDFCBANK.NS,2,0.37648711406702406
2022-11-10,nifty50,HINDUNILVR.NS,1,0.37648711406702406
2022-11-10,nifty50,ICICIBANK.NS,2,0.37648711406702406
2022-11-10,nifty50,INFY.NS,0,0.37648711406702406
2022-11-10,nifty50,ITC.NS,1,0.37648711406702406
2022-11-10,nifty50,JSWSTEEL.NS,1,0.37648711406702406
2022-11-10,nifty50,KOTAKBANK.NS,2,0.37648711406702406
2022-11-10,nifty50,LT.NS,5,0.37648711406702406
2022-11-10,nifty50,M&M.NS,4,0.37648711406702406
2022-11-10,nifty50,MARUTI.NS,4,0.37648711406702406
2022-11-10,nifty50,NTPC.NS,1,0.37648711406702406
2022-11-10,nifty50,ONGC.NS,1,0.37648711406702406
2022-11-10,nifty50,POWERGRID.NS,1,0.37648711406702406
2022-11-10,nifty50,RELIANCE.NS,1,0.37648711406702406
2022-11-10,nifty50,SBIN.NS,2,0.37648711406702406
2022-11-10,nifty50,SUNPHARMA.NS,1,0.37648711406702406
2022-11-10,nifty50,TATASTEEL.NS,1,0.37648711406702406
