date,market,ari_stability,market_volatility
2017-05-08,sp500,0.2569905653399372,9.770000457763672
2017-06-07,sp500,0.1968129643573731,10.390000343322754
2017-07-07,sp500,0.3400325160587212,11.1899995803833
2017-08-07,sp500,0.2597319085200709,9.93000030517578
2017-09-06,sp500,0.3948437339442359,11.630000114440918
2017-10-05,sp500,0.387872364460419,9.1899995803833
2017-11-03,sp500,0.3525817074452646,9.140000343322754
2017-12-05,sp500,0.3220239902752742,11.329999923706056
2018-01-05,sp500,0.3443792141207881,9.220000267028809
2018-02-06,sp500,0.3208362380593862,29.979999542236328
2018-03-08,sp500,0.3723787308363445,16.540000915527344
2018-04-09,sp500,0.3979791423017111,21.770000457763672
2018-05-08,sp500,0.3109773596282641,14.710000038146973
2018-06-07,sp500,0.3535715890738911,12.130000114440918
2018-07-09,sp500,0.4479251876244107,12.6899995803833
2018-08-07,sp500,0.2746702454385338,10.93000030517578
2018-09-06,sp500,0.4371945790673306,14.649999618530272
2018-10-05,sp500,0.4319255529654102,14.81999969482422
2018-11-05,sp500,0.4304183784906077,19.959999084472656
2018-12-06,sp500,0.4342982940128781,21.190000534057617
2019-01-08,sp500,0.4464370929176695,20.46999931335449
2019-02-07,sp500,0.3841130891629911,16.3700008392334
2019-03-11,sp500,0.5300585456584297,14.329999923706056
2019-04-09,sp500,0.4384885315140654,14.279999732971191
2019-05-09,sp500,0.2904756727326684,19.100000381469727
2019-06-10,sp500,0.437080460949562,15.9399995803833
2019-07-10,sp500,0.4493640650770635,13.029999732971191
2019-08-08,sp500,0.3818574624067347,16.90999984741211
2019-09-09,sp500,0.413707752826333,15.270000457763672
2019-10-08,sp500,0.4803779411811695,20.280000686645508
2019-11-06,sp500,0.3486357122878182,12.619999885559082
2019-12-06,sp500,0.4761674719098657,13.619999885559082
2020-01-08,sp500,0.4331547173709956,13.449999809265137
2020-02-07,sp500,0.295082218565204,15.470000267028809
2020-03-10,sp500,0.2590652411172962,47.29999923706055
