ticker,company_name,sector,industry
ICE,Unknown,Unknown,Unknown
IFF,Unknown,Unknown,Unknown
IP,Unknown,Unknown,Unknown
INTU,Unknown,Unknown,Unknown
ISRG,Unknown,Unknown,Unknown
IVZ,Unknown,Unknown,Unknown
INVH,Unknown,Unknown,Unknown
IQV,Unknown,Unknown,Unknown
IRM,Unknown,Unknown,Unknown
JBHT,Unknown,Unknown,Unknown
JBL,Unknown,Unknown,Unknown
JKHY,Unknown,Unknown,Unknown
J,Unknown,Unknown,Unknown
JNJ,Unknown,Unknown,Unknown
JCI,Unknown,Unknown,Unknown
JPM,Unknown,Unknown,Unknown
KVUE,Unknown,Unknown,Unknown
KDP,Unknown,Unknown,Unknown
KEY,Unknown,Unknown,Unknown
KEYS,Unknown,Unknown,Unknown
KMB,Unknown,Unknown,Unknown
KIM,Unknown,Unknown,Unknown
KMI,Unknown,Unknown,Unknown
KKR,Unknown,Unknown,Unknown
KLAC,Unknown,Unknown,Unknown
KHC,Unknown,Unknown,Unknown
KR,Unknown,Unknown,Unknown
LHX,Unknown,Unknown,Unknown
LH,Unknown,Unknown,Unknown
LRCX,Unknown,Unknown,Unknown
LVS,Unknown,Unknown,Unknown
LDOS,Unknown,Unknown,Unknown
LEN,Unknown,Unknown,Unknown
LII,Unknown,Unknown,Unknown
LLY,Unknown,Unknown,Unknown
LIN,Unknown,Unknown,Unknown
LYV,Unknown,Unknown,Unknown
LMT,Unknown,Unknown,Unknown
L,Unknown,Unknown,Unknown
LOW,Unknown,Unknown,Unknown
LULU,Unknown,Unknown,Unknown
LITE,Unknown,Unknown,Unknown
LYB,Unknown,Unknown,Unknown
MTB,Unknown,Unknown,Unknown
MPC,Unknown,Unknown,Unknown
MAR,Unknown,Unknown,Unknown
MRSH,Unknown,Unknown,Unknown
MLM,Unknown,Unknown,Unknown
MAS,Unknown,Unknown,Unknown
MA,Unknown,Unknown,Unknown
MKC,Unknown,Unknown,Unknown
MCD,Unknown,Unknown,Unknown
MCK,Unknown,Unknown,Unknown
MDT,Unknown,Unknown,Unknown
MRK,Unknown,Unknown,Unknown
META,Unknown,Unknown,Unknown
MET,Unknown,Unknown,Unknown
MTD,Unknown,Unknown,Unknown
MGM,Unknown,Unknown,Unknown
MCHP,Unknown,Unknown,Unknown
MU,Unknown,Unknown,Unknown
MSFT,Unknown,Unknown,Unknown
MAA,Unknown,Unknown,Unknown
MRNA,Unknown,Unknown,Unknown
TAP,Unknown,Unknown,Unknown
MDLZ,Unknown,Unknown,Unknown
MPWR,Unknown,Unknown,Unknown
MNST,Unknown,Unknown,Unknown
MCO,Unknown,Unknown,Unknown
MS,Unknown,Unknown,Unknown
MOS,Unknown,Unknown,Unknown
MSI,Unknown,Unknown,Unknown
MSCI,Unknown,Unknown,Unknown
NDAQ,Unknown,Unknown,Unknown
NTAP,Unknown,Unknown,Unknown
NFLX,Unknown,Unknown,Unknown
NEM,Unknown,Unknown,Unknown
NWSA,Unknown,Unknown,Unknown
NWS,Unknown,Unknown,Unknown
NEE,Unknown,Unknown,Unknown
NKE,Unknown,Unknown,Unknown
NI,Unknown,Unknown,Unknown
NDSN,Unknown,Unknown,Unknown
NSC,Unknown,Unknown,Unknown
NTRS,Unknown,Unknown,Unknown
NOC,Unknown,Unknown,Unknown
NCLH,Unknown,Unknown,Unknown
NRG,Unknown,Unknown,Unknown
NUE,Unknown,Unknown,Unknown
NVDA,Unknown,Unknown,Unknown
NVR,Unknown,Unknown,Unknown
NXPI,Unknown,Unknown,Unknown
ORLY,Unknown,Unknown,Unknown
OXY,Unknown,Unknown,Unknown
ODFL,Unknown,Unknown,Unknown
OMC,Unknown,Unknown,Unknown
ON,Unknown,Unknown,Unknown
OKE,Unknown,Unknown,Unknown
ORCL,Unknown,Unknown,Unknown
OTIS,Unknown,Unknown,Unknown
PCAR,Unknown,Unknown,Unknown
PKG,Unknown,Unknown,Unknown
PLTR,Unknown,Unknown,Unknown
PANW,Unknown,Unknown,Unknown
PSKY,Unknown,Unknown,Unknown
PH,Unknown,Unknown,Unknown
PAYX,Unknown,Unknown,Unknown
PYPL,Unknown,Unknown,Unknown
PNR,Unknown,Unknown,Unknown
PEP,Unknown,Unknown,Unknown
PFE,Unknown,Unknown,Unknown
PCG,Unknown,Unknown,Unknown
PM,Unknown,Unknown,Unknown
PSX,Unknown,Unknown,Unknown
PNW,Unknown,Unknown,Unknown
PNC,Unknown,Unknown,Unknown
POOL,Unknown,Unknown,Unknown
PPG,Unknown,Unknown,Unknown
PPL,Unknown,Unknown,Unknown
PFG,Unknown,Unknown,Unknown
PG,Unknown,Unknown,Unknown
PGR,Unknown,Unknown,Unknown
PLD,Unknown,Unknown,Unknown
PRU,Unknown,Unknown,Unknown
PEG,Unknown,Unknown,Unknown
PTC,Unknown,Unknown,Unknown
PSA,Unknown,Unknown,Unknown
PHM,Unknown,Unknown,Unknown
PWR,Unknown,Unknown,Unknown
QCOM,Unknown,Unknown,Unknown
DGX,Unknown,Unknown,Unknown
Q,Unknown,Unknown,Unknown
RL,Unknown,Unknown,Unknown
RJF,Unknown,Unknown,Unknown
RTX,Unknown,Unknown,Unknown
O,Unknown,Unknown,Unknown
REG,Unknown,Unknown,Unknown
REGN,Unknown,Unknown,Unknown
RF,Unknown,Unknown,Unknown
RSG,Unknown,Unknown,Unknown
RMD,Unknown,Unknown,Unknown
RVTY,Unknown,Unknown,Unknown
HOOD,Unknown,Unknown,Unknown
ROK,Unknown,Unknown,Unknown
ROL,Unknown,Unknown,Unknown
ROP,Unknown,Unknown,Unknown
ROST,Unknown,Unknown,Unknown
RCL,Unknown,Unknown,Unknown
SPGI,Unknown,Unknown,Unknown
CRM,Unknown,Unknown,Unknown
SNDK,Unknown,Unknown,Unknown
SBAC,Unknown,Unknown,Unknown
SLB,Unknown,Unknown,Unknown
STX,Unknown,Unknown,Unknown
SRE,Unknown,Unknown,Unknown
NOW,Unknown,Unknown,Unknown
SHW,Unknown,Unknown,Unknown
SPG,Unknown,Unknown,Unknown
SWKS,Unknown,Unknown,Unknown
SJM,Unknown,Unknown,Unknown
SW,Unknown,Unknown,Unknown
SNA,Unknown,Unknown,Unknown
SOLV,Unknown,Unknown,Unknown
SO,Unknown,Unknown,Unknown
LUV,Unknown,Unknown,Unknown
SWK,Unknown,Unknown,Unknown
SBUX,Unknown,Unknown,Unknown
STT,Unknown,Unknown,Unknown
STLD,Unknown,Unknown,Unknown
STE,Unknown,Unknown,Unknown
SYK,Unknown,Unknown,Unknown
SMCI,Unknown,Unknown,Unknown
SYF,Unknown,Unknown,Unknown
SNPS,Unknown,Unknown,Unknown
SYY,Unknown,Unknown,Unknown
TMUS,Unknown,Unknown,Unknown
TROW,Unknown,Unknown,Unknown
TTWO,Unknown,Unknown,Unknown
TPR,Unknown,Unknown,Unknown
TRGP,Unknown,Unknown,Unknown
TGT,Unknown,Unknown,Unknown
TEL,Unknown,Unknown,Unknown
TDY,Unknown,Unknown,Unknown
TER,Unknown,Unknown,Unknown
TSLA,Unknown,Unknown,Unknown
TXN,Unknown,Unknown,Unknown
TPL,Unknown,Unknown,Unknown
TXT,Unknown,Unknown,Unknown
TMO,Unknown,Unknown,Unknown
